AUTHOR,BOOK:NAME
Kagaz Te Canwas,Amrita Pritam
Kamasutra,S.H. Vatsayayan
Kanthapura,Raja Rao
Kapala Kundala,Bankim Chandra Chatterjee
Kashmir: A Tale of Shame,Hari Jaisingh
Kashmir: A Tragedy of Errors,Tavleen Singh
Kamayani,Jai Shankar Prasad
Kulliyat,Ghalib
Kumar Sambhava,Kalidas
Last Burden,Upamanyu Chatterjee
Lipika,Rabindranath Tagore
Life Divine,Sri Aurbindo Ghosh
Lost Child,Mulk Raj Anand
My Days,R.K. Narayan
My India,S. Nihal Singh
My Life and Times,V.V. Giri
"My Music, My Life",Pt. Ravi Shankar
My Presidential Years,R. Venkatraman
My Truth,Indira Gandhi
New Dimensions of India’s Foreign Policy,A.B. Vajpayee
Nisheeth,Uma Shankar Joshi
Operation Bluestar: The True Story,Lt. Gen K.S. Brar
"Our Films, Their Films",Satyajit Ray
Painter of Signs,R.K. Narayan
Panchatantra,Vishnu Sharma
Past Forward,G.R. Narayanan
Pather Panchali,Bibhuti Bhushan
Plain Speaking,N. Chandrababu Naidu
Portrait of India,Ved Mehta
Post Office,Rabindranath Tagore
Prem Pachisi,Munshi Prem Chand
Rajtarangini,Kalhana
Ram Charita Manas,Tulsidas
Ramayana,Maharishi Valmiki
Raghuvamsa,Kalidas
Ranghbhoomi,Prem Chand
Ratnavali,Harsha Vardhan
Ravi Paar (Across the Ravi),Gulzar
Red Earth and Pouring Rain,Vikram Chandra
Ritu Samhara,Kalidas
Saket,Maithili Sharan Gupt
Seven Summers,Mulk Raj Anand
Shadow from Ladakh,Bhabani Bhattacharya
Snakes and Ladders: Essays on India,Gita Mehta
Social Change in Modern India,M.N. Srinivas
Sultry Days,Shobha De
Sunny Days,Sunny Days
The Bride’s Book of Beauty,Mulk Raj Anand
The Cat and Shakespeare,Raja Rao
The Dark Room,R.K. Narayan
The Degeneration of India,T.N. Seshan
The Glass Palace,Amitav Ghosh
The God of Small Things,Arundhati Roy
The Golden Gate,Vikram Seth
Vikram Seth,Kuldeep Nayar
The Man who killed Gandhi,Manohar Malgonkar
The Seven Spiritual Laws of Success,Deepak Chopra
The Songs of India,Sarojini Naidu
The Story of My Experiments with Truth,Mahatma Gandhi
The Strange and Sublime Address,Amit Chaudhuri
The Sword and the Sickle,Mulk Raj Anand
The Vendor of Sweets,R.K. Narayan
The Way of the Wizard,Deepak Chopra
The Girmitiya Saga,Girraj Kishore
Train to Pakistan,Khushwant Singh
Two Leaves and a Bud,Mulk Raj Anand
Victoria and Abdul,Shrabani Basu
Waiting for the Mahatma,R.K. Narayan
Wake Up India,Annie Besant
"We, Indians",Khushwant Singh
Yama,Mahadevi Verma
Yashodhara,Maithili Sharan Gupt
Years of Pilgrimage,Dr. Raja Ramanna
The Congress and The Making of Indian Nation,Pranab Mukherjee
The Dramatic Decade The Indira Gandhi Year’s,Pranab Mukherjee
Glimpses of World History,Jawaharlal Nehru
Letters from a Father to her Daughter,Jawaharlal Nehru
